DATASET,MODEL_TYPE,ZETA,NUM_ZETA_MODELS,IMPLIMENTATION,"FLIP,PROP",ACCURACY
MUSHROOM,LR,2,6,HiFlow3,"1,4",0.8123001230012299
MUSHROOM,LR,2,6,HiFlow3,"2,6",0.8119311193111931
MUSHROOM,LR,2,4,HiFlow3,"2,4",0.8291512915129152
MUSHROOM,LR,2,3,HiFlow3,"3,2",0.8309963099630997
MUSHROOM,LR,2,6,HiFlow3,"0,2",0.8127921279212792
MUSHROOM,LR,2,5,HiFlow3,"0,4",0.8113161131611315
MUSHROOM,LR,2,5,HiFlow3,"3,4",0.8091020910209101
MUSHROOM,LR,2,0,Flower,"0,6",0.7642066420664205
MUSHROOM,LR,2,0,Flower,"1,2",0.7706027060270604
MUSHROOM,LR,2,0,Flower,"2,2",0.7683886838868388
MUSHROOM,LR,2,0,Flower,"3,6",0.7667896678966789
MUSHROOM,LR,2,0,Flower,"1,6",0.7664206642066421
MUSHROOM,LR,2,0,Flower,"1,4",0.7653136531365314
MUSHROOM,LR,2,0,Flower,"2,6",0.7706027060270603
MUSHROOM,LR,2,0,Flower,"2,4",0.7709717097170972
MUSHROOM,LR,2,0,Flower,"3,2",0.7658056580565806
MUSHROOM,LR,2,0,Flower,"0,2",0.7696186961869619
MUSHROOM,LR,2,0,Flower,"0,4",0.7677736777367773
MUSHROOM,LR,2,0,Flower,"3,4",0.7649446494464944
THYROID,SGD,2,3,HiFlow3,"0,6",0.6464088397790055
THYROID,SGD,2,1,HiFlow3,"1,2",0.5163535911602211
THYROID,SGD,2,1,HiFlow3,"2,2",0.4282872928176795
THYROID,SGD,2,0,HiFlow3,"3,6",0.80353591160221
THYROID,SGD,2,0,HiFlow3,"1,6",0.8400000000000001
THYROID,SGD,2,1,HiFlow3,"1,4",0.645524861878453
THYROID,SGD,2,0,HiFlow3,"2,6",0.40121546961325966
THYROID,SGD,2,0,HiFlow3,"2,4",0.7134806629834254
THYROID,SGD,2,0,HiFlow3,"3,2",0.4299447513812155
THYROID,SGD,2,2,HiFlow3,"0,2",0.6700552486187845
THYROID,SGD,2,2,HiFlow3,"0,4",0.6625414364640884
THYROID,SGD,2,0,HiFlow3,"3,4",0.5647513812154695
THYROID,SGD,2,0,Flower,"0,6",0.470828729281768
THYROID,SGD,2,0,Flower,"1,2",0.41226519337016576
THYROID,SGD,2,0,Flower,"2,2",0.4657458563535912
THYROID,SGD,2,0,Flower,"3,6",0.49569060773480667
THYROID,SGD,2,0,Flower,"1,6",0.5743646408839779
THYROID,SGD,2,0,Flower,"1,4",0.5865193370165747
THYROID,SGD,2,0,Flower,"2,6",0.5990055248618784
THYROID,SGD,2,0,Flower,"2,4",0.5246408839779005
THYROID,SGD,2,0,Flower,"3,2",0.5289502762430939
THYROID,SGD,2,0,Flower,"0,2",0.5240883977900552
THYROID,SGD,2,0,Flower,"0,4",0.5093922651933702
THYROID,SGD,2,0,Flower,"3,4",0.5380110497237569
THYROID,LR,2,5,HiFlow3,"0,6",0.9283977900552486
THYROID,LR,2,6,HiFlow3,"1,2",0.9291712707182322
THYROID,LR,2,7,HiFlow3,"2,2",0.9325966850828731
THYROID,LR,2,8,HiFlow3,"3,6",0.934364640883978
THYROID,LR,2,6,HiFlow3,"1,6",0.9257458563535911
THYROID,LR,2,8,HiFlow3,"1,4",0.9266298342541438
THYROID,LR,2,6,HiFlow3,"2,6",0.9265193370165745
THYROID,LR,2,6,HiFlow3,"2,4",0.9316022099447514
THYROID,LR,2,6,HiFlow3,"3,2",0.9099447513812156
THYROID,LR,2,6,HiFlow3,"0,2",0.9301657458563536
THYROID,LR,2,5,HiFlow3,"0,4",0.9166850828729283
THYROID,LR,2,8,HiFlow3,"3,4",0.9293922651933701
THYROID,LR,2,0,Flower,"0,6",0.9340331491712707
THYROID,LR,2,0,Flower,"1,2",0.9355801104972375
THYROID,LR,2,0,Flower,"2,2",0.9348066298342541
THYROID,LR,2,0,Flower,"3,6",0.932817679558011
THYROID,LR,2,0,Flower,"1,6",0.9319337016574586
THYROID,LR,2,0,Flower,"1,4",0.9341436464088397
THYROID,LR,2,0,Flower,"2,6",0.9322651933701659
THYROID,LR,2,0,Flower,"2,4",0.9352486187845305
THYROID,LR,2,0,Flower,"3,2",0.934696132596685
THYROID,LR,2,0,Flower,"0,2",0.9306077348066297
THYROID,LR,2,0,Flower,"0,4",0.9354696132596686
THYROID,LR,2,0,Flower,"3,4",0.930828729281768
